Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your gender identity?,,What is your racial or ethnic identity?,,What is your disability status? (Visible disabilities and invisible disabilities like diabetes and anxiety included),Choose the department you are in,,What is your age?,Did you join KSMC through a merger or acquisition?,Choose one: I joined KSMC...,Please respond with your sentiment towards each statement.,,,,,,,Please respond with your sentiment towards each statement,,,,,,Are there any diversity and inclusion activities or organizations you would like to see KSMC prioritize over the next year? Please note these organizations do not have to be based in Indiana.,Do you have any feedback regarding the survey itself?
,,,,,,,,,Response,Other (please specify),Response,Other (please specify),Response,Response,Other (please specify),Response,Response,Response,Our firm is committed to diversity and inclusion.,"This firm provides an environment for the free and open expression of ideas,opinions and beliefs.",I see strong executive leadership support of diversity and inclusion.,Management demonstrates a commitment to meeting the needs ofemployees with disabilities,People of all cultures and backgrounds are respected and valued here. Employees of different backgrounds interact well within our firm.,"Racial, ethnic, and gender-based jokes are not tolerated at this firm.","I feel that who I am does not impact my compensation, promotions, or job performance.",My supervisor demonstrates commitment to and support of diversity.,"In my department, I can be successful as my authentic self.","When I speak up at work, my opinion is valued.",I rarely feel like I am singled out.,I feel like my colleagues understand who I really am.,I often worry I do not have things in common with others in my department.,Open-Ended Response,Open-Ended Response
12229081893,396321369,12/04/2020 04:49:14 PM,12/04/2020 04:53:32 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Technology Services,,55-64,Yes,"after May 26, 2020.",Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Don't Know/Not Applicable,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Awareness initiatives like book group or movie discussions would be helpful,unfortunately it is hard to gauge the answers to many of these questions without more in-person interactions with the group; can't be helped at this time
12229037278,396321369,12/04/2020 04:33:15 PM,12/04/2020 04:35:50 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Technology Services,,35-44,No,before the move to the downtown office in April 2018.,Agree,Agree,Agree,Don't Know/Not Applicable,Agree,Neither Agree nor Disagree,Disagree,Agree,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,,
12228946215,396321369,12/04/2020 04:00:19 PM,12/04/2020 04:03:59 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Public Sector Services,,35-44,No,"before the acquisition of Advocate on May 26, 2020.",Agree,Agree,Neither Agree nor Disagree,Don't Know/Not Applicable,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,,
12228887567,396321369,12/04/2020 03:38:53 PM,12/04/2020 03:43:55 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,25-34,No,"after May 26, 2020.",Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Don't Know/Not Applicable,Neither Agree nor Disagree,Don't Know/Not Applicable,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,No.  These organizations are inspired by ideologies that are not based in fact or reality.,"This survey assumes a definition of ""diversity and inclusion"" that is an entirely modern creation that has no basis in reality and is ultimately harmful to any organization that operates on that definition."
12228520008,396321369,12/04/2020 01:35:00 PM,12/04/2020 01:37:36 PM,,,,,,Man,,White,,"No, I do not have a disability.",Technology Services,,35-44,No,before the move to the downtown office in April 2018.,Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Yeah. Have our executive committee not be a bunch of white guys. ,No
12228437918,396321369,12/04/2020 01:09:00 PM,12/04/2020 01:12:50 PM,,,,,,Man,,Southeast Asian,,"No, I do not have a disability.",Data and Development Services,,25-34,No,"before the move to remote due to COVID-19 on March 13, 2020.",Strongly Agree,Strongly Agree,Strongly Agree,Don't Know/Not Applicable,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,,
12228416092,396321369,12/04/2020 01:02:50 PM,12/04/2020 01:05:14 PM,,,,,,Woman,,White,,"Yes, I have a disability (or previously had a disability)",Private Sector Services,,25-34,No,before the split from KSM Accounting in March 2019.,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Agree,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,,
12228368159,396321369,12/04/2020 12:48:32 PM,12/04/2020 12:50:44 PM,,,,,,Man,,White,,"No, I do not have a disability.",Private Sector Services,,18-24,No,before the acquisition of ConnectThink in June 2019.,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,,
12228321449,396321369,12/04/2020 12:34:03 PM,12/04/2020 12:41:45 PM,,,,,,Woman,,White,,"No, I do not have a disability.",Private Sector Services,,45-54,No,"before the move to remote due to COVID-19 on March 13, 2020.",Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Don't Know/Not Applicable,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,,
